Name,Category,HD,+/-,Num,Spd,Alt Spd,Atk,Def,Description,T1,T2,T3,Tags
Ogre,Brute,4,1,d6,30,,STR,STR,"Ogres appear as large, very ugly humans. Adult ogres stand 9 to 10 feet tall and weigh 600 to 650 pounds. Their skin color ranges from dull yellow to dull brown. Their clothing consists of poorly cured furs and hides, which add to their naturally repellent odour.
Ogres are brutish and aggressive, but inherently lazy.",,,,"basic-fantasy, giant"
Orc,Soldier,1,,2d4,30,,STR,STR,"Orcs are grotesque humanoids bent on war and domination. They have lupine ears, reddish eyes, truncated, upturned noses, and black hair (but very little body hair).
An adult orc is a little over 6 feet tall and weighs about 210 pounds. Orcs prefer wearing vivid colors that many humans would consider unpleasant, such as blood red, mustard yellow, yellow-green, and deep purple.
They utilize all manner of weapons and armor scavenged from battlefields.
They speak their own rough and simple language, but many also speak some common or goblin.","When fighting in daylight, Orcs roll with disadvantage.",,,"basic-fantasy, humanoid"
Orc Leader,Brute,3,,1,30,,STR,STR,"Orcs are grotesque humanoids bent on war and domination. They have lupine ears, reddish eyes, truncated, upturned noses, and black hair (but very little body hair).
An adult orc is a little over 6 feet tall and weighs about 210 pounds. Orcs prefer wearing vivid colors that many humans would consider unpleasant, such as blood red, mustard yellow, yellow-green, and deep purple.
They utilize all manner of weapons and armor scavenged from battlefields.
They speak their own rough and simple language, but many also speak some common or goblin.","When fighting in daylight, Orcs roll with disadvantage.","At his belt is a magic hand axe + 1 which he will hurl at on opponent, and he can do so and still attack normally in the same round of combat.",,"basic-fantasy, humanoid"
Owl Bear,Predator,5,,d4,30,,STR,CON,"Owlbears appear to be bears with owlish faces, including a large, sharp beak. An owlbear’s coat ranges in colour from brown-black to yellowish brown; its beak is a dull ivory colour. A full-grown male can stand as tall as 8 feet and weigh up to 1,500 pounds.
Adventurers who have survived encounters with the creature often speak of the bestial madness in its red-rimmed eyes.
Owlbears fight much as do bears, but are more aggressive.","1 Bite + 1 attack per claw.
If both paws of an owl bear hit the same opponent in
one round, the owl bear will ""hug"" for an additional 2d8 points of
damage. ",,,"basic-fantasy, monstrosity"
Phantasm,Shaper,1,,d6,30,,DEX,DEX,"Phantasms are the mindless, ghost-like spirits of those who died from catastrophe and are doomed to continue the actions they performed prior to their deaths. Stuck in an endless, repetitive loop, they continue their mundane chores until either destroyed or their bones are put to rest. Phantasms present no great harm to those who encounter them, inflicting only incidental damage (1 point) to those who touch or pass through their deathly cold and insubstantial forms. 

The only way to put a phantasm to rest is by either burying their mortal remains with religious ceremony or by the use of a cleric‘s ability to Turn Undead. A cleric of 6th level or greater can utilize their ability to destroy lesser undead as a result of a successful Turn Undead attempt to permanently eradicate the phantasm from existence.","Immune to damage
Attacks and spells have no effect upon a phantasm, nor do any other harmful substances such as poison, fire, or cold. Even holy water is ineffective.",,,"stonehell, undead"
Poltergeist,Shaper,2,,1,30,,DEX,CON,"These ""noisy ghosts"" are the faint, lingering spirits of those who died in a state of great anger or madness.
They are invisible to the naked eye, but appear as haggard reflections of their appearance during life to those who can discern the invisible.",Immune to sleep and charm,Resistant to physical damage (50%),Hurl whatever small objects are present,"stonehell, undead"
Pony,Soldier,1,,0,30,,STR,STR,"A Pony is a small horse, under 5 feet tall at the shoulder. Ponies are otherwise similar to riding horses and cannotfight while carrying a rider.
A pony can carry up to 55 LOAD.",,,,"basic-fantasy, beast"
Priest,Leader,3,,d6,30,,WIS,WIS,"The evil priest. Wears plate mail + 1, has a shield + 1, and wears on amulet of protection from good,","Snake staff: + 1 to hit.
On command the staff will turn into a snake and coil around the person hit. The person is held helpless for 1d4 turns or until the cleric recalls the staff. The staff then crawls back to the cleric on command.","Cause Light Wounds
Level 1 Spell
Touch
1d10 Damage

Cause Fear
Level 1 Spell
Touch
Wisdom save each turn or flee in terror","Scrolls
Hold Person
Silence (15ft. Radius)

Potion
Gaseous Form (escape)","basic-set, humanoid"
Psyke,Shaper,1,,2d4,30,60,DEX,DEX,"Pyskes appear identical to Pixies, but are Chaotic in nature and serve the Unseelie Court. They are capricious, blood-thirsty, and enjoy in the torment of others. They often lure their victims into complacency by pretending to be their benign kin.",Flying 60ft.,Become invisible at will,,"stonehell, fey"
"Racoon, (Rabid)",Predator,0.5,,d6,30,30,DEX,DEX,,Climbing 30ft,,,beast
"Rat, Giant",Predator,0.5,,3d6,30,,DEX,DEX,"Giant rats are scavengers, but will attack to defend their nests and territories. A giant rat can grow to be up to 4 feet long and weigh over 50 pounds.
A single giant rat will generally be shy, but larger packs attack fearlessly, biting and chewing with their sharp incisors.","1-in-20 chance of getting a disease, unless a CON save vs. Poison is made.
Fail: Lose d6 CON",,,"basic-fantasy, beast"
Rot Grub,Predator,0.25,,5d4,5,,CON,CON,"Rot Grubs are 1inch long vermin found in carrion, dung and other such garbage and organic material. Their skin colour is white or brown.
","Will attack if they come within skin contact.
Injects an anesthetic and burrows into flesh. Target will notice on WIS check.
For first two rounds, can be removed with fire or cutting skin open - 2d6 damage to target but rot grub is killed.
Otherwise only cure disease magic will be effective and the target will die in a further d3 rounds as grubs devour the target's heart.",,,"basic-fantasy, beast"
Shadow,Predator,2,2,d8,30,,STR,CON,"A shadow can be difficult to see in dark or gloomy areas but stands out starkly in brightly illuminated places. They lurk in dark places, waiting for living prey to happen by. A shadow is 5 to 6 feet tall and is weightless.
Shadows cannot speak intelligibly. Despite their strange nature and appearance, shadows are not undead monsters, and thus cannot be Turned by a Cleric.",Immune to non-magical weapons,"On a hit, it will drain 1 point of Strength in addition to doing normal damage.
Any creature whose Strength is reduced to 0 or less will become a shadow.",,"basic-fantasy, monstrosity"
"Shrew, Giant",Brute,1,,d4,60,,STR,STR,"Giant shrews resemble giant rats, but are larger, being up to 6 ft. long, and darker in color. They have a very fast metabolic rate and must eat almost constantly.
Giant shrews are omnivorous, and aggressively defend their nests and the immediate territory around them.
Giant shrews move so swiftly that they are able to bite twice per round.","They may ""see"" things up to 60' away underground as well as a creature with normal sight.
A silence 15' radius spell will ""blind"" a giant shrew.
If it cannot hear, it will have Disadv. to attacks and attackers have Adv. Against it","On an attack, the victim must WIS Save or run away in fear",2 attacks,"basic-fantasy, beast"
Skeleton,Soldier,1,,3d4,30,,STR,DEX,"Skeletons are mindless undead created by an evil MagicUser or Cleric, generally to guard a tomb or treasure hoard, or to act as guards for their creator.","Immune to sleep, charm and hold magic",Resistant to piercing and slashing weapons including arrows,,"basic-fantasy, undead"
"Slug, Great",Brute,1,,d6,10,,CON,CON,"Great slugs resemble common garden slugs except for their 3ft. long size.
They can bite with their rasp-like gums and can spit a gob of acid slime up to 10ft. away.
A significant quantity of salt will do d8 points of damage if applied to a great slug.",Their skin secretes an acidic slime that does 1 point of damage if it comes into contact with skin.,,,"stonehell, beast"
Small Men,Shaper,2,,2d4,30,,WIS,CON,"The Small Men are an enigma. Standing 4ft. high or less, these pale men dress in loose smocks & trousers and move with fluid dexterity, easily avoiding attacks.
They never speak and carry out ineffable tasks within the dungeon.
The Small Men are leftover magical creations of the Plated Mage created from higher baboons subjected to the pool of proto-matter in the Hexperiment, the Small Men seek to preserve the balance between Law and Chaos in Stonehell.
With the ascent of the nixthisis‘ power and the overwhelming Chaotic forces that accompany that growth, the Small Men engage in seemingly meaningless tasks to even the Balance. These tasks usually consist of them creating ordered patterns of decoration and strange tableaus of construction through the dungeon.",May each cast a different spell up to level 2 once per 3 rounds,,,"stonehell, humanoid"
"Snake, Spitting Cobra",Predator,1,,d6,30,,DEX,DEX,"Spitting cobras average about 7ft. in length at adulthood.
They use their spreading hood to warn other creatures not to bother them, and generally refrain from attacking if possible to allow larger creatures time to retreat. Failure to retreat from the spitting cobra will likely result in the cobra spitting venom; the cobra can project its venom up to 5ft.","Can squirt a stream of venom up to a distance of 5 feet.
It aims for its victim's eyes.
On a hit, the victim must CON Save or be blinded. (This blindness can normally only be removed by a cure blindness spell)",Bite: on a hit the victim must CON Save or die in dlO turns.,,"basic-fantasy, beast"
"Snake, Giant Rattlesnake",Predator,2,,d2,30,,DEX,DEX,Giant rattlesnakes are simply much enlarged versions of the normal rattlesnake.  They average 14-20ft. In length at adulthood,Infravision 60',Bite: on a hit the victim must CON Save or die,,"basic-fantasy, beast"
"Snake, Viper",Predator,2,,d8,30,,DEX,DEX,"Pit vipers are highly venomous snakes. There are many varieties ranging in size from 2ft. to 12ft. at adulthood; the statistics above are for an ""average"" variety which reaches about 9ft. in length.
Pit vipers are named for the thermally sensitive ""pits"" between their eyes and nostrils. These are used to detect birds, mammals, and lizards, the natural prey of these snakes. Note that, even though lizards are cold-blooded, pit vipers can still sense them because their temperature will often be slightly higher or lower than their surroundings.",Infravision 60',Bite: on a hit the victim must CON Save or die,,"basic-fantasy, beast"
"Spider, Giant Blackwidow",Predator,3,,d3,30,60,DEX,DEX,"The giant black widow spider is a much enlarged version of the ordinary black widow; a full-grown male has a legspan of 2 feet, while an adult female will be 3 feet or more across. Despite the size difference, both genders are statistically equal.
Both genders are marked with an orange ""hourglass"" on the abdomen.",Bite - Save vs. Poison or die,Movement speed x2 in web,,"basic-fantasy, beast"
"Spider, Giant Crab",Predator,2,,d4,30,30,DEX,DEX,"Crab spiders are ambush predators, hiding using various forms of camouflage and leaping out to bite their surprised prey.
Giant crab spiders are horribly enlarged, being around 3ft. in length.
They can change colour taking on the overall colouration of their preferred lair or ambush location","Have chameleon-like powers and can change their color to blend into their surroundings
Adv. to Stealth rolls",Bite - CON Save vs. Poison (weak roll with Adv.) or die in d4 rounds,,"basic-fantasy, beast"
"Spider, Giant Hound",Predator,2,,d4,30,,STR,DEX,"These gray-black spiders are named for their dog-like size and their tendency to hunt in packs. They do not build webs, instead attacking with a powerful, nonvenomous bite. ",,,,"stonehell, beast"
"Spider, Tarantella",Predator,4,,d3,30,30,DEX,DEX,A tarantella is a huge hairy magical spider which looks like a 7' long tarantula.,"On a hit: CON Save or have painful spasms which resemble a frantic dance for d12 turns.
This dance has a magical effect on onlookers, and they may be affected. Anyone watching must WIS Save or start to dance in the same way.
Dancing victims have Disadv. on all checks and attackers have Adv. against the victim.
Those caught while watching will dance as long as the original victim. ",,,"basic-set, beast"
Sprite,Shaper,0.5,,3d6,30,60,DEX,DEX,"Sprites are reclusive fey creatures, looking like tiny elves just a foot tall with dragonfly-like wings.
They go out of their way to fight evil and ugliness and to protect their homelands.
Sprites fight their opponents with spell-like abilities and pint-sized weaponry. They prefer ambushes and other trickery over direct confrontation.",Flying move 60ft,"Five sprites acting together can cast one curse spell.
This will take the form of a magical practical joke, such as tripping or having one's nose grow.",,"basic-fantasy, fey"
Stirge,Predator,1,,d10,10,60,DEX,DEX,"A stirge’s colouration ranges from rust-red to reddish-brown, with a dirty yellow underside. The proboscis is pink at the tip, fading to gray at its base.
A stirge’s body is about 1 foot long, with a wingspan of about 2 feet. It weighs about 1 pound.",Flying move 60ft,"When a stirge attacks a creature, it tries to thrust its beak into the victim's body to suck out blood for 1- 3 points of damage. A successful hit means that it has attached itself to the victim. If attached, it will automatically suck blood for 1- 3 points of damage per round until either it or its victim is dead then it will leave.","A flying stirge gains a bonus of + 2 on its first ""to hit"" roll against any one opponent due to its speed.","basic-fantasy, monstrosity"
Thoul,Soldier,3,,d6,30,,STR,DEX,"A thoul is a magical combination of a ghoul, a hobgoblin, and a troll.
Except when very close, thouls look exactly like hobgoblins, and they are sometimes found as part of the bodyguard of a hobgoblin king.","On a hit: paralyze any creature of ogre-size or smaller (except elves) unless CON save.
Once an opponent is paralyzed, the thoul will turn and attack another opponent, until either the thoul or all the opponents are paralyzed or dead.
Lasts d8 turns.
Removed by a cure light wounds spell.",Regenerate 1 hit point per round as long as it is alive.,,"basic-set, undead"
"Toad, Giant",Sniper,2,2,1,30,60,DEX,DEX,,Sticky tongue attack at range,Jumping 60ft,,beast
Trader,Leader,1,,d8,30,,STR,DEX,"Traders are first level fighters who make their living trading goods. They are similar to merchants, but much braver (and much better fighters). They usually carry swords and hand axes. They wear furs (treat their furs as leather armor) and carry shields. When  ncountered in the wilderness, they will be leading 1-4 pack mules carrying trade goods. ",,,,"basic-set, humanoid"
Veteran,Soldier,2,,2d4,30,,STR,STR,"Veterans are low-level fighters, usually returning from or going to a war.",,,,"basic-set, humanoid"
"Wasp, Giant",Soldier,0.5,,d6,30,60,DEX,DEX,Like regular wasps but much larger,Flying 60ft.,,,beast
Wight,Shaper,3,,d6,30,,WIS,CON,"A wight's appearance is a weird and twisted reflection of the form it had in life. A wight is about the height and weight of a human. Wights do not possess any of the abilities they had in life.
Any humanoid slain by a wight becomes a wight by the next sunset (but not less than 12 hours later).
Wight spawn are under the command of the wight that created them and remain enslaved until its death.",Energy Drain: Each hit drains d8 CON (and corresponding HP),Immune to non-magical weapons,,"basic-fantasy, undead"
Wolf,Predator,2,2,2d6,60,,STR,STR,"Wolves are pack hunters known for their persistence and cunning. They prefer to surround and flank a foe when they can.
Captured wolves can be trained like dogs.",,,,"basic-fantasy, beast"
"Golem, Wood",Brute,2,2,1,30,,CON,CON,"Wood golems are small constructs, not more than 4ft. in height
Golems are magically created automatons of great power.  Constructing one involves the employment of mighty magic and elemental forces. The animating force for a golem is an elemental spirit. The process of creating the golem binds the spirit to the artificial body.
Being mindless, golems generally do nothing without orders from their creators, which they follow explicitly without strategy or tactics.",Resistant to physical damage (50%),Immune to most magical effects,Vulnerable to fire (200%),"basic-fantasy, construct"
Yellow Mold,Predator,2,,d8,0,,CON,CON,"This deadly fungus covers an area of 10 square feet (2ft. by 5ft., for example), though many are sometimes found together.","Releases a 10ft cube of spores if touched
CON Save or die in d6 rounds",Vulnerable to fire (200%),,"basic-set, plant"
Zombie,Brute,2,,2d4,20,,STR,CON,"Zombies are undead humans or demi-humans animated by some evil cleric or magic-user. As all undead, they may be ""Turned"" by a cleric but are not affected by sleep or charm spells or any form of mind reading. They are often placed to guard treasures, since they make no noise until they attack. Zombies will always attack on sight, but can be destroyed by normal weapons.",Slow: Always last on initiative,Resistant to bludgeoning and arrows,"Immune to sleep, charm and hold magic.","basic-fantasy, undead"
"Elephant, African",Brute,9,,d20,30,,STR,STR,"Massive herbivores of tropical lands, elephants are unpredictable creatures but nevertheless are sometimes used as mounts or beasts of burden.
An African elephant can carry 1,500 LOAD.
An elephant has no treasure as such, but the tusks of an elephant are worth 1d8 x 100sp.",,,,"basic-fantasy, beast"
"Elephant, Indian",Brute,7,,d20,30,,STR,STR,"Massive herbivores of tropical lands, elephants are unpredictable creatures but nevertheless are sometimes used as mounts or beasts of burden.
An Indian elephant can carry 1,400 LOAD.
An elephant has no treasure as such, but the tusks of an elephant are worth 1d8 x 100sp.",,,,"basic-fantasy, beast"
"Fish, Huge Barracuda",Predator,5,,2d4,0,60,STR,STR,"Huge barracuda are predatory fish found in salt water and are about 12ft long.
They have elongated bodies, pointed heads and prominent jaws. Their bodies are covered with smooth scales, typically blue, gray or silver in color.
They are attracted to shiny objects.",Swimming 60ft.,DisAdv. to stealth checks,,"basic-fantasy, beast"
"Fish, Giant Barracuda",Predator,9,,1,0,60,STR,STR,"Giant barracuda are predatory fish found in salt water and are over 20ft long.
They have elongated bodies, pointed heads and prominent jaws. Their bodies are covered with smooth scales, typically blue, gray or silver in color.
They are attracted to shiny objects.",Swimming 60ft.,DisAdv. to stealth checks,,"basic-fantasy, beast"
"Fish, Giant Bass",Predator,13,,d6,0,30,STR,STR,"Giant bass are generally between 10' and 25' long.
Most are greenish-grey, marked with dark lateral stripes, though some are almost completely black.
They are generally found in lakes or rivers, as they are not adapted for salt water.
After swallowing a creature the Giant Bass will attempt to retreat (having achieved its goal).",Swimming 30ft.,"Hit: on a score of 20+ the bass swallows its target - restrained, damage per round and can fight from inside with small weapons e.g. dagger",,"basic-fantasy, beast"
"Fish, Giant Catfish",Predator,8,,d2,0,30,STR,STR,Giant catfish are 15 to 20 ft long predatory fish with fins edged with a natural poison that causes a painful burning sensation.,Swimming 30ft.,Touch CON save or DisAdv. to all checks until rest,,"basic-fantasy, beast"
"Fish, Giant Piranha",Predator,4,,2d4,0,60,STR,STR,"Giant piranha average 5 ft in length at adulthood, and are aggressive carnivores. They are able to sense blood in the water just as sharks do.",Swimming 60ft.,,,"basic-fantasy, beast"
Ghast,Predator,2,,d4,30,,STR,STR,"Although these creatures look just like their lesser kin, the ghoul, they are far more deadly and cunning.
Ghasts try to attack with surprise whenever possible, striking from behind tombstones and bursting from shallow graves; when these methods are employed.","Hit: CON save or paralysed, Elves are immune",Adv. to Stealth checks,10% chance of disease - CON save or die in 1 day and rise as a ghast at midnight,"basic-fantasy, undead"
Ghost,Shaper,10,,1,30,,STR,STR,"Ghosts are the spectral remnants of intelligent beings who, for one reason or another, cannot rest easily in their graves. A ghost normally resembles the form it had in life, but sometimes the spiritual form is altered. For instance, the ghost of someone who believed he or she was evil might look a bit demonic.",Immune to non-magical weapons,"WIS save on sight or fear
Hit: lose 1 CON","May possess another living creature (WIS contest)
May pass through solid objects","basic-fantasy, undead"
"Giant, Cloud",Soldier,12,3,d2,30,,STR,STR,"Cloud giants’ skin ranges in colour from milky white to light sky blue. They have hair of silvery white or brass, and their eyes are iridescent blue. Adults are about 18 feet tall and weigh about 5,000 pounds. Cloud giants can live to be 400 years old.
Cloud giants dress in the finest clothing available and wear jewelry. They also appreciate music, and most can play one or more instruments (the harp is a favorite). They are suspicious of the smaller races, but do not usually prey upon them, preferring instead to demand tribute.
Cloud giants fight in well-organized units, using carefully developed battle plans. They prefer to fight from a position above their opponents, dropping rocks on them.",,,,"basic-fantasy, giant"
"Giant, Cyclops",Brute,13,,1,30,,STR,STR,"A cyclops is a one-eyed giant. Huge and brutish, they most resemble hill giants, and even dress in the same ""style,"" layers of crudely prepared hides with the fur left on, unwashed and unrepaired.
They are reclusive and unfriendly to almost all of the smaller races.",,,,"basic-fantasy, giant"
"Giant, Fire",Brute,11,2,d2,30,,STR,STR,"An adult fire giant is 14 feet tall, has a chest that measures 9 feet around, and weighs about 3,200 pounds. Fire giants can live to be 350 years old.
Fire giants wear sturdy cloth or leather garments colored red, orange, yellow, or black. Warriors wear helmets and half-plate armor of blackened steel.
Fire giants are unfriendly to almost all other human, demihuman, and humanoid races, though they sometimes subjugate nearby humanoid races to act as their servants.",,,,"basic-fantasy, giant"
"Giant, Frost",Leader,10,1,d2,30,,STR,STR,"Frost giants have pale, almost white skin with light blue or dirty yellow hair. An adult is about 15 feet tall and weighs about 2,800 pounds. Frost giants can live to be 250 years old.
Frost giants dress in skins and pelts, along with any jewelry they own. Frost giant warriors add chain shirts and metal helmets decorated with horns or feathers.
Frost giants are, first and foremost, cunning. They dislike the smaller races as much as any giant, but rather than attacking outright they will try to use their advantages to convince those weaker than them to submit.",,,,"basic-fantasy, giant"
"Giant, Hill",Brute,8,,d4,30,,STR,STR,"The smallest of giants, adult hill giants stand between ten and twelve feet in height and weigh about 1,100 pounds. Hill giants can live to be 200 years old.
Skin color among hill giants ranges from light tan to deep ruddy brown. They have brown or black hair and eyes the same color. They wear layers of crudely prepared hides, which they seldom wash or repair.
Hill giants are brutish and aggressive. They are sometimes found leading groups of ogres or bugbears. Hill giants often keep dire wolves as pets.",,,,"basic-fantasy, giant"
"Giant, Stone",Brute,9,,d2,30,,STR,STR,"Stone giants prefer thick leather garments, dyed in shades of brown and gray to match the stone around them. Adults are about 12 feet tall and weigh about 1,500 pounds. Stone giants can live to be 800 years old.
Stone giants are reclusive, but they will defend their territory (typically in rocky mountainous terrain) against any who trespass therein.",,,,"basic-fantasy, giant"
"Giant, Storm",Brute,15,,1,30,,STR,STR,"Adult storm giants are about 21 feet tall and weigh about 12,000 pounds. They can live to be 600 years old. Most storm giants have pale skin and dark hair. Very rarely, storm giants have violet skin.
Storm giants generally dress in short, loose tunic belted at the waist, sandals or bare feet, and a headband. They wear a few pieces of simple but finely crafted jewelry, anklets (favored by barefoot giants), rings, or circlets being most common.
They live quiet, reflective lives and spend their time musing about the world, composing and playing music, and tilling their land or gathering food.",Spell: Lightning bolt,,,"basic-fantasy, giant"
"Golem, Amber",Brute,10,,1,60,,STR,STR,Amber golems are generally built to resemble lions or other great cats.,Healed by lightning damage,Attack 2 claws,,"basic-fantasy, construct"
"Golem, Bone",Brute,8,,1,30,,DEX,DEX,"Bone golems are huge four-armed (and armed with four weapons) monsters created from the skeletons of at least two dead humanoids. Though made of bone, they are not undead and cannot be turned.",,,,"basic-fantasy, construct"
"Golem, Bronze",Brute,20,,1,60,,STR,STR,"These golems resemble statues made of bronze; unlike natural bronze statues, they never turn green from verdigris. A bronze golem is 10 feet tall and weighs about 4,500 pounds.
It moves with a ponderous but smooth gait. Each step causes the floor to tremble unless it is on a thick, solid foundation.
The interior of a bronze golem is molten metal.","Touch: d10 heat damage
When damaged DEX save or be hit by molten metal spray",,,"basic-fantasy, construct"
"Golem, Clay",Brute,11,,1,20,,STR,STR,"This golem has a humanoid body made from clay. A clay golem wears no clothing except for a metal or stiff leather garment around its hips. A clay golem cannot speak or make any vocal noise. It walks and moves with a slow, clumsy gait. It weighs around 600 pounds.
",,,,"basic-fantasy, construct"
"Golem, Flesh",Brute,9,,1,30,,STR,STR,"A flesh golem is a ghoulish collection of stolen humanoid body parts, stitched together into a single composite form. The golem wears whatever clothing its creator desires, usually just a ragged pair of trousers.
It has no possessions and no weapons. It stands 8 feet tall and weighs almost 500 pounds. A flesh golem cannot speak, although it can emit a hoarse roar of sorts.
It walks and moves with a stiff jointed gait, as if not in complete control of its body.",No natural animal willingly tracks a flesh golem,Healed by lightning damage,Vulnerable to cold or fire damage,"basic-fantasy, construct"
"Golem, Iron",Brute,17,,1,20,,STR,STR,"This golem has a humanoid body made from iron. Its features are much smoother than those of a stone golem.
Iron golems sometimes carry a short sword in one hand. An iron golem is 12 feet tall and weighs about 5,000 pounds.
An iron golem cannot speak or make any vocal noise, nor does it have any distinguishable odor. It moves with a ponderous but smooth gait. Each step causes the floor to tremble unless it is on a thick, solid foundation.",Gas cloud 10ft CON save or die,Healed by fire damage,Vulnerable to lightning damage,"basic-fantasy, construct"
"Golem, Stone",Brute,14,,1,20,,STR,STR,"This golem has a humanoid body made from stone. A stone golem is 9 feet tall and weighs around 2,000 pounds.
Its body is frequently stylized to suit its creator. For example, it might look like it is wearing armor, with a particular symbol carved on the breastplate, or have designs worked into the stone of its limbs.
Stone golems are formidable opponents, being physically powerful and difficult to harm.",Spell: Slow,,,"basic-fantasy, construct"
Gorgon,Brute,8,,d4,30,,STR,STR,Gorgons are magical monsters resembling bulls made of iron.,Breath: 60ft cone CON save petrify,,,"basic-fantasy, monstrosity"
Griffon,Predator,7,,2d8,30,120,STR,STR,"Griffons are large carnivorous creatures resembling lions with the head, foreclaws and wings of eagles. From nose to tail, an adult griffon can measure as much as 8 feet.
A pair of broad, golden wings emerge from the creature’s back and span 25 feet or more. An adult griffon weighs about 500 pounds.
Griffons nest on high mountaintops, soaring down to feed on horses, the beast’s preferred prey. They hunt and travel in ?ocks. A Griffon will attack a horse over anything else, diving low to swipe with their claws.",Flying 120ft.,,,"basic-fantasy, monstrosity"
Hangman Tree,Predator,5,,1,0,,DEX,DEX,"Hangman trees are horrible, semi-animate creatures that fertilize themselves with dead bodies.
A hangman tree has four animated limbs that can wrap around the necks of living creatures that pass beneath.
The roots of this tree are also animated; they do not attack, but they do pull dead bodies below the surface of the ground for ""digestion.""","Hit: DEX save or grappled and damage each turn.
STR save to escape",,,"basic-fantasy, plant"
Hawk,Predator,0.5,,d6,5,150,DEX,DEX,"Hawks are similar to eagles but slightly smaller, being 1 to 2 feet long with wingspans of 6 feet or less.",Flying 150ft.,,,"basic-fantasy, beast"
"Hawk, Giant",Predator,4,,d3,5,150,DEX,DEX,"Giant hawks are 4 to 6 feet long, with wingspans of 12 feet or more; they can carry off creatures of Halfling size or smaller.",Flying 150ft.,,,"basic-fantasy, beast"
Hellhound,Soldier,5,,2d4,30,,STR,STR,"Hellhounds are canine creatures sheathed in hellish flame. A typical hell hound stands 4½ feet high at the shoulder and weighs 120 pounds.
They are native to another plane where they hunt in packs; sometimes powerful wizards or evil priests summon them for use as watchdogs.",Breath fire 20ft cone,,,"basic-fantasy, fiend"
Hippogriff,Brute,3,,2d8,60,120,STR,STR,"Hippogriffs resemble large Flying horses with the forefront of a bird of prey. A typical hippogriff is 9 feet long, has a wingspan of 20 feet, and weighs 1,000 pounds.
A hippogriff avoids other creatures, dwelling in extreme altitudes. Griffons sometimes prey upon them, and hippogriffs will generally attack griffons on sight if they have a numerical advantage.
Hippogriffs are omnivorous, entering combat only as defense, save for those times a griffon is met. They are prized as flying mounts since, unlike griffons, they are relatively safe around horses; note that it is still necessary to raise one in captivity in order to use it as a mount.
A hippogriff can carry up to 80 LOAD.",Flying 120ft.,,,"basic-fantasy, monstrosity"
Hydra,Brute,9,,1,30,,STR,STR,"Hydras are reptile-like monsters with multiple heads. They are gray-brown to dark brown, with a light yellow or tan underbelly. The eyes are amber and the teeth are yellow white. Hydras are about 20 feet long and weigh about 4,000 pounds.
They are bad-tempered and territorial, but not particularly cunning.","9 heads, each can attack
Lose 1 head per 5 damage",,,"basic-fantasy, monstrosity"
Hyena,Predator,2,1,d8,60,,STR,STR,"Hyenas are doglike carnivores who exhibit some of the behaviors of canines but are not related.
They not only hunt but also scavenge and steal meals. A hungry hyena will chew on anything that is even remotely tainted by blood, meat or other food traces.
They will mostly be found in the same savanna-like environments where lions and zebras may be found. They can live in clans of up to a hundred individuals, though smaller groups are more common.
They are among the favorite pets of gnolls, who may take them into regions where they are not normally found.",,,,"basic-fantasy, beast"
Hyenodon,Predator,3,1,d6,30,,STR,STR,"These ancient four legged predators are named for their tooth shape, like prehistoric hyenas. A notable feature is that their massively built skull features a long jaw (similar to that of a crocodile) full of teeth, with four great fangs.
",,,,"basic-fantasy, beast"
Invisible Stalker,Predator,8,,1,30,,DEX,DEX,"Invisible stalkers are creatures native to the Elemental Plane of Air.
They sometimes serve wizards and sorcerers, who summon them to perform specific tasks. A summoned invisible stalker undertakes whatever task the summoner commands, even if the task sends it hundreds or thousands of miles away.The creature follows a command until the task is completed and obeys only the summoner. However, it resents protracted missions or complex tasks and seeks to pervert its instructions accordingly.
Invisible stalkers have an amorphous form like a cloud.",Invisible - detectable only by magic,,,"basic-fantasy, monstrosity"
Jaguar,Predator,4,,d2,60,30,STR,STR,"These great cats are about 8 to 9 feet long (from nose to tail-tip) and weigh about 165 pounds.
Unlike other great cats, they enjoy swimming and often hunt near rivers or lakes.
Jaguars kill with their powerful bite, preferring to deliver a fatal wound to the skull of their prey.",Swimming 30ft.,,,"basic-fantasy, beast"
"Leech, Giant",Predator,6,,d6,30,,CON,CON,"Giant leeches are slimy, segmented wormlike creatures which live in water. Salt or fresh, clean or stagnant, there are giant leech varieties for all wet environments. However, only a true leech expert can tell the various types apart.
An average giant leech will be 4 to 6 feet long.",Hit: attaches itself to its victim and auto hits each round,,,"basic-fantasy, beast"
Lion,Predator,5,,d8,60,,STR,STR,"The statistics presented here describe an African lion, which is 5 to 8 feet long and weighs 330 to 550 pounds.",,,,"basic-fantasy, beast"
"Living Statue, Iron",Brute,4,,d4,10,,STR,CON,"Living statues are magically animated. They are true automatons, unlike golems, which are animated by elemental spirits.
They may not be commanded in any meaningful fashion. They make very effective guards for tombs, treasure rooms, and similar places.
Living statues can be crafted to resemble any sort of living creature, but most commonly are made to look like humans or demi-humans.",Living statues are not affected by sleep spells.,,,"basic-fantasy, construct"
"Living Statue, Stone",Brute,5,,d4,20,,STR,CON,"Living statues are magically animated. They are true automatons, unlike golems, which are animated by elemental spirits.
They may not be commanded in any meaningful fashion. They make very effective guards for tombs, treasure rooms, and similar places.
Living statues can be crafted to resemble any sort of living creature, but most commonly are made to look like humans or demi-humans.",Living statues are not affected by sleep spells.,,,"basic-fantasy, construct"
